#Observation Type, Mission, Instrument, Filters, Disperser, Target Name,Target Classification, Observation ID, RA, Dec, Principal Investigator, Product Type, Calibration Level, Scheduling, Start Time, End Time, Exposure Length, Observation Title, Focal, Format, url
#@string, string, string, string, string, string, string, string, ra, dec, string, string, int, string, float, float, float, string, float, string, string
intentType,obs_collection,instrument_name,filters,disperser,target_name,target_classification,obs_id,s_ra,s_dec,proposal_pi,dataproduct_type,calib_level,scheduling,t_min,t_max,t_exptime,obs_title,focal,format,url
science,OT_Library_UT1,UT1,IR-CUT,,ngc5350,GinPair,1,208.34009666666668,40.36394055555556,dtouzan@gmail.com,light,1,2019-05-31T23:36:00,58634.98333333333,58634.98680555555,300,,0.75,fits,ngc5350-20190531-2336-1x300-f750.fits
science,OT_Library_UT1,UT1,IR-CUT,,9,Asteroid,2,152.27041666666665,19.174166666666668,dtouzan@gmail.com,light,1,2017-04-23T21:20:00,57866.88888888889,57866.899305555555,900,,0.2,fits,9-20170423-2120-15x60s-f200.fits
science,OT_Library_UT1,UT1,IR-CUT,,9,Asteroid,3,152.47124999999997,18.98888888888889,dtouzan@gmail.com,light,1,2017-04-25T21:15:00,57868.885416666664,57868.89583333333,900,,0.2,fits,9-20170425-2115-15x60s-f200.fits
science,OT_Library_UT1,UT1,IR-CUT,,13,Asteroid,4,114.46166666666666,39.75527777777778,dtouzan@gmail.com,light,1,2017-04-11T20:05:00,57854.836805555555,57854.84375,600,,0.2,fits,13-20170411-2005-10x60s-f200.fits
science,OT_Library_UT1,UT1,IR-CUT,,13,Asteroid,5,114.47125,39.75111111111111,dtouzan@gmail.com,light,1,2017-04-11T20:45:00,57854.864583333336,57854.87152777778,600,,0.2,fits,13-20170411-2045-10x60s-f200.fits
science,OT_Library_UT1,UT1,IR-CUT,,18,Asteroid,6,128.15416666666667,16.200833333333332,dtouzan@gmail.com,light,1,2021-03-05T21:26:00,59278.893055555556,59278.89444444444,120,,0.3,fits,18-20210305-2126-1x120s-f300.fits
science,OT_Library_UT1,UT1,IR-CUT,,21,Asteroid,7,105.87958333333331,25.221666666666664,dtouzan@gmail.com,light,1,2017-03-13T21:00:00,57825.875,57825.889236111114,1230,,0.2,fits,21-20170313-2100-41x30s-f200.fits
science,OT_Library_UT1,UT1,IR-CUT,,21,Asteroid,8,106.04374999999999,25.194444444444446,dtouzan@gmail.com,light,1,2017-03-15T20:30:00,57827.854166666664,57827.86458333333,900,,0.2,fits,21-20170315-2030-15x60s-f200.fits
science,OT_Library_UT1,UT1,IR-CUT,,21,Asteroid,9,106.04541666666665,25.194166666666668,dtouzan@gmail.com,light,1,2017-03-15T21:00:00,57827.875,57827.885416666664,900,,0.2,fits,21-20170315-2100-15x60s-f200.fits
science,OT_Library_UT1,UT1,IR-CUT,,21,Asteroid,10,125.73499999999999,23.03638888888889,dtouzan@gmail.com,light,1,2021-03-05T22:43:00,59278.94652777778,59278.947916666664,120,,0.3,fits,21-20210305-2243-1x120s-f300.fits
